Name,Average
Malacothrix_typica,4.04
Tamias_panamintinus,4.04
Notomys_alexis,4.01
Gerbilliscus_kempi,4
Gerbillus_henleyi,4
Kadarsanomys_sodyi,4
Niviventer_niviventer,4
Pelomys_fallax,4
Pseudomys_chapmani,4
Taterillus_gracilis,4
Vandeleuria_nolthenii,4
Marmota_marmota,4
Marmota_olympus,4
Sciurus_anomalus,4
Tamias_ochrogenys,4
Tamias_sonomae,4
Rhizomys_sumatrensis,4
Mus_pahari,3.97
Dendromus_melanotis,3.97
Steatomys_pratensis,3.96
Gerbilliscus_validus,3.94
Dendromus_mesomelas,3.94
Tamias_palmeri,3.93
Tamiasciurus_hudsonicus,3.93
Gerbilliscus_afra,3.92
Mus_setulosus,3.92
Tamias_quadrivittatus,3.92
Gerbillus_andersoni,3.89
Pseudomys_albocinereus,3.89
Berylmys_bowersi,3.88
Gerbillus_dasyurus,3.88
Praomys_delectorum,3.88
Notocitellus_annulatus,3.88
Tamias_canipes,3.88
Thryonomys_swinderianus,3.88
Gerbillurus_vallinus,3.87
Rattus_tiomanicus,3.87
Sundamys_muelleri,3.8
Taterillus_emini,3.76
Praomys_derooi,3.75
Tamias_townsendii,3.75
Eoglaucomys_fimbriatus,3.74
Niviventer_cremoriventer,3.7
Otomys_angoniensis,3.7
Rattus_exulans,3.7
Myospalax_aspalax,3.7
Lemniscomys_griselda,3.68
Dremomys_lokriah,3.68
Praomys_jacksoni,3.67
Rattus_steini,3.65
Marmota_caudata,3.65
Gerbillurus_paeba,3.64
Thallomys_nigricauda,3.6
Sciurotamias_davidianus,3.6
Marmota_vancouverensis,3.59
Apodemus_semotus,3.56
Maxomys_surifer,3.54
Urocitellus_columbianus,3.54
Hydromys_chrysogaster,3.51
Leggadina_forresti,3.5
Pseudomys_fumeus,3.5
Aethomys_namaquensis,3.49
Mus_musculoides,3.49
Pachyuromys_duprasi,3.49
Praomys_hartwigi,3.49
Psammomys_obesus,3.49
Pseudomys_fieldi,3.49
Beamys_hindei,3.49
Dendromus_kahuziensis,3.49
Ratufa_macroura,3.49
Tamias_obscurus,3.49
Niviventer_confucianus,3.45
Rattus_leucopus,3.45
Dendromus_mystacalis,3.45
Xerus_erythropus,3.45
Tamiasciurus_mearnsi,3.4
Tamiops_swinhoei,3.4
Praomys_tullbergi,3.36
Leopoldamys_sabanus,3.33
Eospalax_fontanierii,3.32
Gerbillus_pyramidum,3.3
Maxomys_rajah,3.29
Notomys_mitchellii,3.28
Praomys_morio,3.28
Zyzomys_pedunculatus,3.25
Vandeleuria_oleracea,3.24
Spalax_leucodon,3.24
Aconaemys_fuscus,3.23
Thallomys_paedulcus,3.2
Sciurus_aberti,3.2
Pseudomys_delicatulus,3.19
Delanymys_brooksi,3.19
Gerbillus_nanus,3.16
Spalacopus_cyanus,3.14
Glaucomys_volans,3.13
Grammomys_dolichurus,3.11
Hylomyscus_stella,3.11
Cricetomys_gambianus,3.11
Sundasciurus_tenuis,3.11
Myospalax_psilurus,3.11
Sciurus_arizonensis,3.09
Notomys_fuscus,3.07
Leopoldamys_ciliatus,3
Apomys_gracilirostris,3
Echiothrix_centrosa,3
Gerbillus_gleadowi,3
Hylomyscus_alleni,3
Leggadina_lakedownensis,3
Lophuromys_sikapusi,3
Maxomys_whiteheadi,3
Pseudomys_australis,3
Pseudomys_desertor,3
Pseudomys_nanus,3
Pseudomys_occidentalis,3
Pseudomys_shortridgei,3
Uromys_hadrourus,3
Mystromys_albicaudatus,3
Callosciurus_baluensis,3
Callosciurus_orestes,3
Glaucomys_sabrinus,3
Sciurus_alleni,3
Sciurus_yucatanensis,3
Rhizomys_pruinosus,3
Rhizomys_sinensis,3
Sciurus_carolinensis,2.98
Leporillus_conditor,2.95
Mus_mayori,2.95
Notomys_cervinus,2.95
Dendromus_messorius,2.95
Funambulus_pennantii,2.95
Lenothrix_canus,2.91
Malacomys_longipes,2.91
Maxomys_inas,2.91
Parotomys_littledalei,2.91
Pseudomys_gracilicaudatus,2.91
Heliosciurus_gambianus,2.91
Heliosciurus_ruwenzorii,2.91
